Albert Einstein | No podemos resolver nuestros problemas con el mismo razonamiento que usamos cuando los creamos.
Albert Einstein | No trates de convertirte en un hombre de éxito, sino más bien en un hombre de valor.
Andrew Jackson | Un hombre con coraje hace una mayoría.
Benjamin Disraeli | Uno de los secretos del éxito en la vida es estar preparados para cuando se presenta la oportunidad.
Confucio | El hombre que comete un error y no lo corrige, está cometiendo otro error.
Dale Carnegie | El hombre exitoso sacará provecho de sus errores y volverá a intentarlo de otro modo.
David Brinkley | Un hombre de éxito es aquel capaz de construir unos cimientos firmes con los ladrillos que otros le han arrojado.
Epicteto | Es un hombre sabio aquel que no se entristece por las cosas que no tiene, sino que se regocija por las que tiene.
George Lorimer | Debes levantarte cada mañana con determinación si quieres irte a la cama con satisfacción.
Nelson Mandela | La educación es el arma más poderosa para cambiar el mundo.
Amelia Earhart | Lo más difícil es la decisión de actuar: el resto es mera tenacidad.
John Graham | Descubrirás que la educación es prácticamente lo único que queda libre en este mundo, lo único de lo que el ser humano puede disponer tanto como esté dispuesto a llevarse.
Augustine Og Mandino | Adopta la actitud de un estudiante, nunca te consideres demasiado mayor para hacer preguntas ni demasiado listo como para aprender algo nuevo.
Charlie Munger | Es notable la ventaja a largo plazo que hemos obtenido personas como nosotros al tratar de no ser estúpidos de manera constante, en lugar de tratar de ser muy inteligentes.
Tina Fey | No puedes ser ese niño que se queda de pie en lo alto del tobogán de agua, pensándoselo demasiado. Debes ser el niño que se lanza por el tobogán.
Melissa McCarthy | Cuando creo en algo, soy como un perro con un hueso.
Anaïs Nin | Y llegó el día en que el riesgo que corría por quedarse firme dentro del capullo era más doloroso que el riesgo que corría por florecer.
David Hurley | El estándar por el que pasas es el estándar que aceptas.
Gilbert K. Chesterton | He buscado en todos los parques de todas las ciudades y nunca he encontrado estatuas de comités.
Winston Churchill | El éxito es tropezar de fracaso en fracaso sin perder el entusiasmo.
Theodore Roosevelt | Mantén tus ojos en las estrellas y tus pies en el suelo.
Eleanor Roosevelt | No dejes de pensar en la vida como una aventura. No tendrás seguridad a menos que puedas vivir con valentía, con emoción, con imaginación; a menos que puedas elegir un reto en lugar de la competencia.
Vince Lombardi | No se puede alcanzar la perfección. Pero si perseguimos la perfección, podemos alcanzar la excelencia.
Walt Disney | Ten una buena idea y quédate con ella. Persíguela y trabaja en ella hasta que quede bien hecha.
Helen Keller | El optimismo es la fe que conduce al logro. Nada se puede hacer sin esperanza y confianza.
Joe Girard | El ascensor hacia el éxito no funciona. Tendrás que usar las escaleras, un peldaño cada vez.
Dave Carolan | Sé como un trampolín de energía positiva: absorbe cuanto necesitas y rebota todavía más.
Zig Ziglar | La gente suele decir que la motivación no dura. Pero tampoco lo hace una ducha: por eso la recomendamos a diario.
Anónimo | Trabaja hasta que tu cuenta bancaria tenga el aspecto de un número de teléfono.
Oscar Wilde | Soy tan inteligente que a veces no entiendo ni una sola palabra de lo que estoy diciendo.
Winnie the Pooh | La gente dice que nada es imposible, pero yo hago nada todos los días.
Tom Lehrer | La vida es como una cloaca… Lo que obtienes de ella depende de lo que hayas depositado en ella.
Lily Tomlin | Siempre quise ser alguien, pero ahora me doy cuenta de que debería haber sido algo más específico.
Michael Jordan | El talento gana partidos, pero el trabajo en equipo y la inteligencia ganan campeonatos.
Vince Lombardi | Del compromiso individual al esfuerzo de un equipo. Eso hace que un equipo funcione, que una compañía funcione, que una sociedad y civilización funcionen.
Andrew Carnegie | El trabajo en equipo es la capacidad de trabajar juntos hacia una visión común. La habilidad de dirigir logros individuales hacia objetivos organizacionales. Es el combustible que permite a gente común alcanzar resultados poco comunes.
Henry Ford | Aunarse es el principio. Mantenerse juntos, es el progreso. Trabajar juntos es el éxito.
Helen Keller | Solos podemos hacer muy poco, juntos podemos hacer mucho.
Patrick Lencioni | Recuerda: el trabajo en equipo comienza construyendo confianza, y la única forma de hacerlo es superando nuestra necesidad de invulnerabilidad.
Jean-François Cope | Invito a todo el mundo a elegir el perdón en lugar de la división, el trabajo en equipo en lugar de la ambición personal.
Dalai Lama | Solo un pequeño pensamiento positivo por la mañana puede cambiar todo tu día.
Chris Grosser | Las oportunidades no aparecen, las creas.
Gary Vaynerchuk | Ama a tu familia, trabaja muy duro, vive tu pasión.
George Eliot | Nunca es demasiado tarde para ser lo que podrías haber sido.
Les Brown | No dejes que la opinión de alguien sobre ti se convierta en tu realidad.
Mark Cuban | Si no eres energía positiva, eres energía negativa.
Stephen R. Covey | No soy un producto de mis circunstancias. Soy un producto de mis decisiones.
John Wooden | Hazlo lo mejor que puedas. Nadie puede hacer más que eso.
Walt Disney | Si puedes imaginarlo, puedes hacerlo.
Theodore Roosevelt | Haz lo que puedas, con lo que tienes, dondequiera que estés.
William James | El gran descubrimiento de mi generación es que los seres humanos pueden cambiar sus vidas cambiando su actitud.
Edmond Mbiaka | Una de las diferencias entre algunas personas de éxito y otras que no lo tienen es que un grupo está lleno de hacedores, mientras que el otro está lleno de deseadores.
Lucille Ball | Prefiero arrepentirme de las cosas que he hecho, que arrepentirme de las que no he hecho.
Gordon B. Hinckley | No puedes arar un campo dándole vueltas en tu mente. Para empezar, empieza.
Marco Aurelio | Cuando te levantes por la mañana, piensa en el privilegio de vivir: respirar, pensar, disfrutar, amar.
David Dweck | Los lunes ofrecen un nuevo comienzo 52 veces al año.
Wayne Dyer | Siéntete miserable. O motívate. Cualquier cosa que hagas será siempre decisión tuya.
Germany Kent | Tus pensamientos del lunes por la mañana marcan la pauta de toda la semana. Visualízate siendo más fuerte y viviendo una vida más plena, feliz y saludable.
Kate Summers | ¡Los viernes se ven más sonrisas que cualquier otro día de la semana!
S. O’ Sade | ¡Oh! Es viernes otra vez. Comparte el amor que te faltó durante la semana. Es un momento de paz y felicidad.
Nanea Hoffman | Cada viernes me gusta felicitarme por haber pasado otra semana con poco más que cafeína, fuerza de voluntad y humor inadecuado.
Byron Pulsifer | Haz que los viernes sean un día para celebrar el trabajo bien hecho, un trabajo del que puedas estar orgulloso de saber que simplemente no estás haciendo tiempo hasta el próximo día de pago.
Catherine Pulsifer | Cuando dejes de trabajar el viernes, deja de trabajar. No permitas que la tecnología te siga todo el fin de semana (respondiendo emails y mensajes de texto). Tómate un descanso. Estarás más fresco para empezar la nueva semana laboral si te has tomado un descanso.
Zig Ziglar | Puedes conseguir todo lo que quieres en la vida si ayudas a suficientes personas a conseguir lo que quieren.
Pablo Picasso | La inspiración existe, pero tiene que encontrarte trabajando.
Angela Bassett | No te conformes con la media. Da lo mejor en cada momento. Así, tanto en el fracaso como en el éxito, al menos sabrás que has dado lo mejor de ti mismo.
Isabel Allende | Ponte a ello, ponte a ello y ponte a ello, y después de un rato la musa aparecerá.
David Ogilvy | No batees en corto. Apunta fuera del estadio. Apunta hacia la compañía de los inmortales.
Bárbara Elaine Smith | Me he mantenido sobre una montaña de noes solo por un sí.
Tobias Lütke | Si crees que algo debe existir, si es algo que quieres usar tú mismo, no dejes que nadie te impida hacerlo.
Anne Lamott | No mires a tus pies para ver si lo estás haciendo bien. Simplemente, baila.
Warren Buffett | Alguien está sentado hoy a la sombra porque alguien plantó un árbol hace mucho tiempo.
Mortimer J. Adler | La verdadera libertad es imposible sin una mente liberada por la disciplina.
A. A. Milne | Los ríos lo saben: no hay prisa. Algún día llegaremos.
Martha Graham | Existe una vitalidad, una fuerza de vida, una energía, una urgencia que a través de ti se traduce en acción, y puesto que solo hay una como tú, esta expresión es única. Si la bloqueas, nunca existirá a través de ningún otro medio y se perderá.
Jason Fried | Lo pequeño es algo más que un paso en el camino. Es un destino en sí mismo.
Benjamin Franklin | El que puede tener paciencia, puede tener lo que quiera.
Jessica Ennis | La única persona que puede decirte ‘no puedes lograrlo’ eres tú misma, y no debes escucharla.
Bo Jackson | Fíjate unas metas altas, y no te detengas hasta alcanzarlas.
Mia Hamm | Acepta tus victorias, sean las que sean, valóralas, úsalas, pero no te conformes con ellas.
Steve Jobs | La vida puede ser algo mucho más extenso cuando descubres algo muy simple: todo lo que te rodea y que llamas ‘vida’ estaba hecho por personas que no eran más inteligentes que tú. Puedes cambiarlo, puedes ejercer tu influencia sobre ello… Una vez que lo descubres, nada vuelve a ser igual.
Albert Einstein | La vida es como montar en bicicleta. Para mantenerte en equilibrio debes seguir pedaleando.
Ralph Waldo Emerson | Lo que haces habla tan alto que no puedo escuchar lo que dices.
Mark Twain | Nunca he dejado que mis estudios interfirieran en mi educación.
Napoleon Hill | Si aún no estás preparado para hacer grandes cosas, haz cosas pequeñas con grandeza.
Jim Rohn | Si realmente quieres hacer algo, encontrarás una manera. Si no quieres hacerlo, encontrarás una excusa.
Abraham Lincoln | Asegúrate de colocar tus pies en el lugar adecuado, y mantente firme.
Stephen Covey | Vive de tu imaginación, no de tu historia.
Anónimo | No esperes al momento y lugar perfectos para entrar porque ya estás en el escenario.
Epicuro | Cuanto mayor es la dificultad, mayor es la gloria de superarla.
Mary Anne Radmacher | El coraje no siempre ruge. A veces el coraje es una voz tranquila al final del día que dice: ‘Lo intentaré de nuevo mañana’.
Clayton M. Christensen | Si las decisiones que tomas sobre dónde inviertes tu sangre, sudor y lágrimas no son coherentes con la persona que aspiras a ser, nunca llegarás a ser esa persona.
Cindy Gallop | El miedo a lo que pensarán los demás es la dinámica más paralizante en los negocios y en la vida. El mejor momento de mi vida fue el día en que me di cuenta de que me importaba un bledo lo que pensaran los demás. Es enormemente liberador, y es la única manera de vivir tu vida y sacar adelante tu negocio.
Arthur C. Clarke | La única manera de descubrir los límites de lo posible es aventurarse un poco más allá de ellos hacia lo imposible.
Anónimo | La preocupación es un mal uso de la imaginación.
Maya Angelou | La valentía es la más importante de todas las virtudes, porque sin valentía no puedes practicar ninguna otra virtud de manera constante.
Edna Mode | Nunca miro atrás, querido. Me distrae del ahora.
Anónimo | De aquí a un año desearás haber empezado hoy.
Steve Furtick | La razón por la que luchamos contra la inseguridad es porque comparamos nuestra vida privada con el lado notable de los demás.
Carl Sagan | En algún lugar hay algo increíble en espera de ser descubierto.
Jay-Z | No perderé, porque incluso en la derrota, se aprende una lección valiosa, así que existe un equilibrio.
Arianna Huffington | No intento bailar mejor que nadie más. Solo intento bailar mejor que yo misma.
Erica Jong | Si no arriesgas nada, arriesgas aún más.
Henry Ford | El fracaso no es más que una oportunidad de volver a empezar, esta vez de un modo más inteligente.
Confucio | Nuestra mayor gloria no es no haber caído nunca, sino levantarnos cada vez que caemos.
Wayne Dyer | Si cambias la forma en que miras las cosas, las cosas que miras cambian.
Arthur Ashe | Debemos ofrecer nuestra mano con amistad y dignidad, tanto a quienes se harían amigos nuestros como a quienes podrían convertirse en nuestros enemigos.
Bill Gates | Está bien celebrar el éxito, pero es más importante prestar atención a las lecciones del fracaso.
Arlan Hamilton | No puedo decirte cuántas veces he recibido un no solo para descubrir que justo a la vuelta de la esquina estaba esperándome un sí más grande y más brillante.
Ariana Huffington | Debemos aceptar que no siempre tomamos las decisiones adecuadas, que algunas veces metemos la pata hasta el fondo: aceptar el fracaso no es lo contrario al éxito, es parte de él.
Henry Ford | Cuando todo parezca ir en tu contra, recuerda que un avión despega contra el viento, no a favor de él.
Wayne Dyer | No siempre puedes controlar lo que sucede ahí fuera. Pero siempre puedes controlar lo que sucede aquí adentro.
Aristóteles | Somos lo que hacemos día a día. De modo que la excelencia no es un acto, sino un hábito.
Arthur Ashe | Empieza donde estás. Usa lo que tienes. Haz lo que puedas.
Ross Simmonds | El entusiasmo supera al talento cuando el talento no se entusiasma.
George Addair | Todo lo que siempre has deseado está al otro lado del miedo.
Ayn Rand | La pregunta no es quién va a dejarme hacerlo: la pregunta es quién tratará de impedírmelo.
Thomas Edison | No he fracasado. Solo me he encontrado con 10.000 formas en las que esto no funciona.
Drew Houston | No te preocupes por el fracaso: basta con que lo hagas bien una vez.
Diane Von Furstenberg | Llevas contigo el pasaporte a tu propia felicidad.
Drake | Nunca dejes que el éxito se te suba a la cabeza y nunca dejes que el fracaso se te suba al corazón.
Robin Sharma | Las ideas sin ejecución son solo sueños.
Laird Hamilton | Asegúrate de que tu peor enemigo no vive entre tus dos orejas.
Séneca | Es duro el camino que conduce a la grandeza.
Vincent van Gogh | Lo grandioso no sucede solo por impulso, es una sucesión de pequeñas cosas que se juntan.
Maria Edgeworth | Si cuidamos los pequeños momentos, los años cuidarán de nosotros.
Anónimo | Resiliencia es afrontar la incertidumbre con flexibilidad.
Raymond Joseph Teller | A veces la magia es simplemente alguien dedicándole más tiempo a algo de lo que cualquiera podría esperar.
Paul Bryant | Lo que importa no es la voluntad de ganar, todo el mundo la tiene. Lo que importa es la voluntad de prepararse para ganar.
Henry David Thoreau | Así como un solo paso no abrirá un camino en la tierra, un solo pensamiento no abrirá un camino en la mente. Para hacer un camino físico profundo, caminamos una y otra vez. Para trazar un camino mental profundo, debemos pensar una y otra vez el tipo de pensamientos que deseamos que dominen nuestras vidas.
Earl Nightingale | Nunca renuncies a un sueño simplemente por el tiempo que necesitarás para lograrlo. El tiempo pasará de todos modos.
Anónimo | La verdadera humildad no es pensar menos de uno mismo: es pensar menos en sí mismo.
Mark Twain | Los dos días más importantes de tu vida son el día en el que naces y el día en el que descubres por qué.
Pema Chodron | Nada desaparece hasta que nos enseña lo que necesitamos saber.
Bruce Lee | Podemos ver a través de los demás solo cuando podemos ver a través de nosotros mismos.
Octavia Butler | Olvídate de la inspiración. Fíate más del hábito. El hábito te sostendrá, tanto si estás inspirado como si no.
Robert Frost | La mejor salida es siempre a través.
Jesse Owens | Las batallas que cuentan no son las de las medallas de oro. La lucha interior, las batallas invisibles e inevitables dentro de uno mismo, son las que cuentan.
Frederick Douglass | Sin lucha no hay progreso.
Bill Walsh | Alguien siempre dirá ‘Yo soy el líder’, y esperará que todos hagan una fila y lo sigan hasta las puertas del cielo o del infierno. Pero la experiencia me dice que eso no sucede así. Los demás te siguen por la calidad de tus acciones, más que por la magnitud de tus palabras.
Ruth Gordo | La valentía es como un músculo. La fortalecemos con el uso.
Paul Graham | Corta por lo sano con las tonterías, no esperes a hacer lo que verdaderamente importa y saborea el tiempo que tienes. Es lo que debes hacer porque la vida es corta.
Cicerón | Más se pierde por la indecisión que por una mala decisión.
Tomás de Aquino | Si el principal objetivo del capitán fuera preservar su barco, lo mantendría en el puerto para siempre.
Dita Von Teese | Ya puedes ser el melocotón más maduro y jugoso del mundo, que siempre habrá alguien que odie los melocotones.
Cormac McCarthy | Mantén un poco de fuego encendido: por pequeño que sea y por oculto que esté.
Dr. Seuss | Nunca te aburrirás si intentas algo nuevo. Realmente no existe un límite para todo lo que puedes hacer.
Don Cheadle | Creo que es embriagador cuando alguien es quien es sin pedir disculpas.
Leymah Gbowee | Nunca dejarás una huella imborrable si siempre caminas de puntillas.
Dolly Parton | Si no te gusta la carretera por la que avanzas, empieza a asfaltar otra.
Childish Gambino | Si te pone nervioso es que lo estás haciendo bien.
Jane Goodall | Lo que haces marca la diferencia, y tienes que decidir qué diferencia quieres marcar.
Louise Hay | Elijo hacer del resto de mi vida lo mejor de mi vida.
Coco Chanel | Para ser irremplazable, debes ser diferente.
Kurt Vonnegut | Cualquier cosa puede hacer que me detenga, mire, me pregunte y, a veces, aprenda.
Constance Wu | La pasión y el deseo de autenticidad de la gente son poderosos.
Sonia Sotomayor | Un superávit de esfuerzo puede compensar un déficit de confianza.
Jennifer López | La duda mata. Solo tienes que saber quién eres y qué representas.
Billie Jean King | Nadie que no esté obsesionado puede cambiar el mundo.
Mia Hamm | Aprendí hace mucho tiempo que hay algo peor que fallar un gol, y es no golpear el balón.
Michael Jordan | Algunas personas quieren que algo suceda, otras sueñan con que suceda y otras hacen que suceda.
